product_id,degiro_name,isin,symbol,currency,category,product_type,product_type_id,exchange_id,just_etf_name,ticker,description,benchmark,asset_class,replication,just_etf_currency,fund_size,fund_size_category,currency_risk,inception_date,ter,distribution_policy,fund_domicile,fund_structure,fund_provider,administrator,last_update,name
846726,iShares   InflationLinkedGovtBd UCITS ETF EUR(Acc),IE00B0M62X26,IBCI,EUR,F,ETF,131,200,iShares Euro Inflation Linked Government Bond UCITS ETF,A0HGV1,The Bloomberg Euro Government Inflation Linked Bond index tracks eurozone government inflation-linked bonds.,Bloomberg Euro Government Inflation-Linked Bond,Bonds,Physical (Sampling),EUR,2386000000.0,large-cap,Currency unhedged,2005-11-18,0.0009,Accumulating,Ireland,Open-ended Investment Company (OEIC),iShares,State Street Fund Services (Ireland) Limited,2022-05-18,iShares Euro Inflation Linked Government Bond UCITS ETF
11827334,iShares Edge MSCI USA Val Factor UCITS ETF USD Acc,IE00BD1F4M44,QDVI,EUR,H,ETF,131,194,iShares Edge MSCI USA Value Factor UCITS ETF,A2AP35,The MSCI USA Enhanced Value index tracks the US value stocks. These are U.S. equities which are determined as value stocks using eight historical and forward-looking fundamental data points.,MSCI USA Enhanced Value,Equity,Physical (Full replication),USD,3613000000.0,large-cap,Currency unhedged,2016-10-13,0.002,Accumulating,Ireland,Open-ended Investment Company (OEIC),iShares,State Street Fund Services (Ireland) Limited,2022-05-18,iShares Edge MSCI USA Value Factor UCITS ETF
5087310,iShares Core MSCI EM IMI UCITS ETF USD Acc,IE00BKM4GZ66,IS3N,EUR,I,ETF,131,194,iShares Core MSCI Emerging Markets IMI UCITS ETF (Acc),A111X9,The MSCI Emerging Markets (IMI) index tracks stocks from emerging markets worldwide.,MSCI Emerging Markets Investable Market (IMI),Equity,Physical (Optimized sampling),USD,14505000000.0,large-cap,Currency unhedged,2014-05-30,0.0018,Accumulating,Ireland,Open-ended Investment Company (OEIC),iShares,State Street Fund Services (Ireland) Limited,2022-05-18,iShares Core MSCI Emerging Markets IMI UCITS ETF (Acc) (1)
5075696,iShares Core MSCI EM IMI UCITS ETF USD Acc,IE00BKM4GZ66,EMIM,EUR,I,ETF,131,200,iShares Core MSCI Emerging Markets IMI UCITS ETF (Acc),A111X9,The MSCI Emerging Markets (IMI) index tracks stocks from emerging markets worldwide.,MSCI Emerging Markets Investable Market (IMI),Equity,Physical (Optimized sampling),USD,14505000000.0,large-cap,Currency unhedged,2014-05-30,0.0018,Accumulating,Ireland,Open-ended Investment Company (OEIC),iShares,State Street Fund Services (Ireland) Limited,2022-05-18,iShares Core MSCI Emerging Markets IMI UCITS ETF (Acc) (2)
846772,iShares Core MSCI World UCITS ETF USD (Acc),IE00B4L5Y983,IWDA,EUR,H,ETF,131,200,iShares Core MSCI World UCITS ETF USD (Acc),A0RPWH,The MSCI World index tracks stocks from 23 developed countries worldwide.,MSCI World,Equity,Physical (Optimized sampling),USD,39740000000.0,large-cap,Currency unhedged,2009-09-25,0.002,Accumulating,Ireland,Open-ended Investment Company (OEIC),iShares,State Street Fund Services (Ireland) Limited,2022-05-18,iShares Core MSCI World UCITS ETF USD (Acc)
14567541,Amundi MSCI Emerging Markets UCITS ETF - EUR (C),LU1681045370,LU1681045370,EUR,I,ETF,131,710,Amundi MSCI Emerging Markets UCITS ETF EUR (C),A2H58J,The MSCI Emerging Markets index tracks stocks from emerging markets worldwide.,MSCI Emerging Markets,Equity,Synthetic (Unfunded swap),EUR,2061000000.0,large-cap,Currency unhedged,2010-11-30,0.002,Accumulating,Luxembourg,Company With Variable Capital (SICAV),Amundi ETF,CACEIS BANK Luxembourg S.A.,2022-05-18,Amundi MSCI Emerging Markets UCITS ETF EUR (C)
846744,iShares $ TIPS UCITS ETF USD (Acc),IE00B1FZSC47,TIPS,EUR,F,ETF,131,200,iShares USD TIPS UCITS ETF USD (Acc),A0LGP8,The Bloomberg US Government Inflation-Linked Bond index tracks US Treasury Inflation-Protected Securities (TIPS).,Bloomberg US Government Inflation-Linked Bond,Bonds,Physical (Sampling),USD,3236000000.0,large-cap,Currency unhedged,2006-12-08,0.001,Accumulating,Ireland,Open-ended Investment Company (OEIC),iShares,State Street Fund Services (Ireland) Limited,2022-05-18,iShares USD TIPS UCITS ETF USD (Acc)
